gene	rho	p_val
ERCC3	-0.04457320024460545	0.006147591301236923
NTRK1	0.043855516698209175	0.007025217495093719
STAG2	0.04359136905815706	0.007375538049434683
BCL2	0.04346292123251811	0.007551485028561213
VTCN1	0.04341483358085047	0.007618316915239014
FOXO1	0.04328809904965755	0.007796997809620845
KNSTRN	-0.04316025423890324	0.007981037748628888
CASP8	-0.042877951487136426	0.008401267930702408
CEBPA	0.04260601866916083	0.008824655545294935
RAD51D	-0.042198478211680455	0.009494888393457029
PLK2	0.0420475985314035	0.009754305773843383
BRIP1	-0.041605372401213536	0.010551403603772755
PAK5	-0.041265856917095764	0.011202140026814226
ETV1	-0.04115780752063358	0.011416581016839183
KDR	0.04114562706473414	0.011440982048562857
SRC	0.04102250798568127	0.011690235498365538
EED	0.04062826913932142	0.012521070101946571
IGF2	0.04062505029801098	0.01252806340463312
RAD51C	0.04003877983108272	0.013860921459117865
PPM1D	0.03995670535975279	0.014057168945571737
MEN1	0.039699872233646176	0.014687207900121265
BAP1	-0.039695863138179965	0.01469723675537871
FLT4	0.03957840094642708	0.014993762009202324
CSDE1	-0.03951671541031106	0.015151582665851489
HNF1A	-0.039103964203010974	0.01624572541084188
ERRFI1	0.03788257230343479	0.019900119862133265
RASA1	-0.03784294758453652	0.0200298257136881
PRKAR1A	-0.0378174822015693	0.02011357179305617
PRKD1	0.03767859717963009	0.02057570897787664
STK11	0.037297776030061396	0.02189067259025154
PAX5	-0.03728650383506026	0.021930684249324393
NUP93	-0.037133638087263665	0.022479607178841288
RPS6KA4	0.03679258753559137	0.023747476630749182
MSH3	0.03663386531922509	0.024358378989946874
CUL3	0.036428342857991826	0.02516960454051201
CYSLTR2	0.03634958525116207	0.025486610969694783
PPP6C	-0.03629367692296124	0.025713737390378178
INHA	0.0362651221466629	0.025830414216202944
SMAD3	-0.03572174050806064	0.02813952235440365
TP53BP1	0.03561309169895118	0.02862197450580117
IRF4	-0.03551306304533998	0.029072428082877813
IGF1R	0.03539239936341044	0.029623910553562487
TSHR	0.03438455064976657	0.03459160499123705
SH2B3	0.0342238833937436	0.03544589295208072
XPO1	-0.03398788124040287	0.03673333896940301
HRAS	-0.033784870052172636	0.03787246418926744
SF3B1	0.033392711385054126	0.04015810542589906
SOX9	0.033171325012033834	0.041499323797140976
