gene	rho	p_val
CRLF2	0.06738138498837859	3.406778822895872e-05
PLCG2	0.06723441699961628	3.5440187094208296e-05
SMARCA4	0.06697289523452776	3.801301598605852e-05
FLT1	0.06588118060672367	5.079429898334255e-05
BRD4	0.06541560795334563	5.740157580293825e-05
FGFR4	-0.06531338344032178	5.895746194692504e-05
DICER1	0.06473166672809609	6.859927689714787e-05
GNA11	-0.0645284364310449	7.230604539402209e-05
ETV6	-0.06418879658572552	7.892676016547321e-05
NOTCH3	0.063997094737273	8.291249199506153e-05
NOTCH1	0.06388767667592103	8.527190828774529e-05
PPP2R1A	-0.06317842390891915	0.00010217330297185308
CDK6	-0.0630842239189945	0.00010464244385713015
INSR	0.0629142622353147	0.00010924044164726344
CSF3R	0.06241336937795304	0.00012392443278631297
NTHL1	0.06171083947505795	0.00014767710051947255
RET	-0.06149487132492086	0.00015580034731373514
FYN	0.060959386325384654	0.00017779199488223528
PIK3CG	-0.060896204382558515	0.00018057118115894833
ELF3	0.060513073619912955	0.00019831794328304124
MST1R	-0.060020393480751326	0.00022355157235236063
IKBKE	0.05932706390627967	0.00026419929819151153
KMT2C	0.058279332421350395	0.0003389546008716947
VEGFA	-0.05794467927629246	0.0003667264059742613
MGA	0.05792313069846088	0.0003685856146942858
RTEL1	-0.057657476787082294	0.00039224168226368336
RHOA	0.057426171133517036	0.0004139865151090107
KIT	0.05716985730320951	0.0004393942787606888
BRCA2	-0.05644805816850977	0.0005189789120688741
PTPRS	-0.05604962363390117	0.0005684712470184649
PBRM1	-0.0557451480875691	0.0006092164723027171
DDR2	0.05568945655539777	0.0006169569246967886
TNFAIP3	-0.05551535122058521	0.0006417494589164558
FGFR3	0.05551192096616922	0.0006422471033554628
RAD50	-0.05505881147425538	0.0007112281779887841
GSK3B	-0.054700690783506485	0.0007705508050817949
CDKN1A	0.05438609683490376	0.0008264189836355119
RAD51	0.05389744691528477	0.0009206895040355572
PNRC1	-0.05366725272106635	0.0009684663176868447
PMS1	-0.05357607098511687	0.000988017858220668
MED12	0.05343713682419233	0.0010185120557262319
BCL6	-0.05338139279968528	0.0010309900997274345
FOXA1	0.053076303787541766	0.001101824170273311
RECQL	0.05284156619788872	0.0011593577306377588
SPOP	-0.052819047021488916	0.0011650205806823853
MAP2K2	-0.052301091532995045	0.0013025346165817498
SUZ12	0.0515516953640202	0.0015281353703333023
SOS1	0.0515338387266383	0.0015339254367473002
AKT1	-0.051430633277777554	0.001567787683737176
MYCN	-0.051340116252765994	0.00159805172408657
TEK	-0.05132195736095493	0.0016041874514761576
REL	0.05118552269594868	0.0016509853498021991
TCF7L2	-0.05090247178054446	0.0017521033458664638
MSH2	0.05002728088867318	0.0021018534310865864
FH	0.04973772544813601	0.0022309703120462388
RICTOR	0.04940552769604791	0.0023880268883698765
ERG	-0.04928688785610445	0.00244652592417335
NKX2-1	-0.04902758946636984	0.0025789707695849954
MPL	-0.048955268806752314	0.0026170623055817095
FBXW7	-0.04889115778363897	0.002651258965390572
SYK	0.04795749385977358	0.0031977615668954615
INPP4B	-0.04786062613464551	0.003259974259821159
IL7R	-0.047750188564574	0.003332245438186821
MAPKAP1	-0.04760653780624403	0.003428433654463113
FGFR1	0.047453532535766646	0.003533658461917616
PIK3R3	-0.04726474101174108	0.0036675386831231983
PIK3CD	-0.047153333061820644	0.003748689682847379
MSH6	-0.04646468789955507	0.0042875607277438705
AXL	-0.04641810106240805	0.004326435189189966
SLX4	-0.04611631677327063	0.004586092049237096
MAP3K1	0.04608431778373015	0.004614435485928732
MYCL	0.045682027542802296	0.0049845459372691945
TGFBR2	0.04551994865333359	0.005141094269884552
KRAS	-0.0454339067393372	0.005225992724669682
PTCH1	-0.04530089453154611	0.005359730704690106
DNMT1	0.04530022547544945	0.005360411149643736
XIAP	0.04500805794546467	0.0056651127626595405
PRKCI	-0.04479319966002861	0.005899060708899844
TERT	-0.04457556826335774	0.0061448667486050015
