term	p_rho	p_pval	c_rho	c_pval	rlipp
NEST:117	0.4890394543323063	2.3193232982017755e-226	0.44502130148852503	3.538310350746878e-183	1.0989124626092
NEST:6	0.721394786391322	0.0	0.6658340021370789	0.0	1.0834453994177433
NEST:91	0.5921492943501002	0.0	0.552617368388096	4.589194647497879e-301	1.0715358007608646
NEST:133	0.1574930826555071	2.1023514342101548e-22	0.1475354875276845	7.936472593553664e-20	1.0674928811683635
NEST:8	0.31201438669315906	4.553617544704841e-86	0.29254416662134247	2.0263189464859714e-75	1.0665548053706984
NEST:186	0.4965673391157678	2.1168472465291484e-234	0.4724207104679992	2.6126156441515454e-209	1.0511125530966836
NEST:146	0.1770455993967371	5.701442070504445e-28	0.16914400679356367	1.2221005562982886e-25	1.0467151792899003
NEST:38	0.5833529765581993	0.0	0.5593895952927859	5.2564472037194e-310	1.0428384465264695
NEST:55	0.4478534290607224	9.06111303781483e-186	0.43332865574291307	9.807159871788362e-173	1.0335190694760483
NEST:3	0.8399180035671115	0.0	0.8131965181166756	0.0	1.0328598129174502
NEST:85	0.492745207357653	2.7091253125836993e-230	0.48119765639472906	3.380322784349177e-218	1.0239975212045742
NEST:18	0.24015159555398313	1.0886243792124648e-50	0.23475199056377516	1.8806689282861113e-48	1.0230013171655772
NEST:104	0.33272790496264504	2.581383727987e-98	0.32585218415640443	3.8397057630751883e-94	1.021100735672652
NEST:129	0.16359764212849853	4.5417010952949514e-24	0.16042853209130073	3.3884714172531407e-23	1.0197540300087908
NEST:2	0.5562755319579499	7.205354819040614e-306	0.546218821424067	8.365139586537893e-293	1.0184115049489941
NEST:34	0.4827963305640565	7.619258777570624e-220	0.47475368657414524	1.2017532719334022e-211	1.016940666744365
NEST:65	0.6338396718547537	0.0	0.6236819673613625	0.0	1.0162866733767624
NEST:10	0.6156729456603693	0.0	0.6066253968962491	0.0	1.0149145565128188
NEST:182	0.24352567689337273	4.073741539367014e-52	0.24009444923765214	1.1504134142504e-50	1.0142911577781804
NEST:15	0.655610267989579	0.0	0.6474931529374641	0.0	1.0125362175882326
NEST:138	0.17564852496900685	1.500540016722877e-27	0.17347518065707818	6.6542313322084e-27	1.0125282723655142
NEST:32	0.5382502723951111	9.18753079771735e-283	0.53163719198474	1.2404982638683552e-274	1.0124390853575966
NEST:4	0.7479909949544882	0.0	0.7389236851876027	0.0	1.0122709691794267
NEST:169	0.21689449720761864	1.8861491372534994e-41	0.2144344549629002	1.5585180074691884e-40	1.0114722339987017
NEST:130	0.46037225909209456	1.595306940327785e-197	0.45561573047418236	5.332083549449223e-193	1.010439781376648
NEST:126	0.44020811654010406	7.892002041432816e-179	0.43568049799829467	8.39351327383135e-175	1.010392061528141
NEST:150	0.5200899584462371	7.320529166301215e-261	0.514912062350574	7.392837725882379e-255	1.0100558842456049
NEST:127	0.42732865280536614	1.5586287605519394e-167	0.4234871352073481	2.9369747715195737e-164	1.0090711553637566
NEST:107	0.2118793792860989	1.3591413761216033e-39	0.21044483757164545	4.528831873434132e-39	1.006816711357745
NEST:132	0.4942669555893609	6.365936468370052e-232	0.49158109458446086	4.7141923281642115e-229	1.0054637190780709
NEST:195	0.21902822001180366	2.9571785670686996e-42	0.21784482911585992	8.28387141962171e-42	1.005432265253881
NEST	0.9414011330377704	0.0	0.9398314366575112	0.0	1.0016701892690905
NEST:197	0.1788939849899412	1.5652855394552093e-28	0.17862276726308704	1.8938729847278432e-28	1.0015183827403966
NEST:105	0.17679162537100546	6.802111776633637e-28	0.17656363371110417	7.968234160262629e-28	1.00129127190639
NEST:108	0.30919572344535384	1.7818649399331917e-84	0.3089322955712693	2.5050586899549117e-84	1.0008527042263335
NEST:145	0.04493076451003554	0.0057482923659308545	0.044924355619395714	0.0057552384985823995	1.0001426596008214
NEST:112	0.2515354408007819	1.3593606468289808e-55	0.2515532393822483	1.3349601930415252e-55	0.9999292452702653
NEST:254	0.18206602238682298	1.647788223356084e-29	0.18224141427605023	1.4531622932769532e-29	0.9990375848984492
NEST:30	0.4850903492127536	3.185172279732723e-222	0.4855964736088954	9.459316598406703e-223	0.9989577263764288
NEST:50	0.6089197478721315	0.0	0.6095958697203233	0.0	0.9988908687184808
