term	gene	pc1_corr	pc1_corr_pval	rank
NEST:186	RB1	-0.3096	0.0000	2
NEST:186	ATM	0.2077	0.0000	3
NEST:186	ATR	-0.1918	0.0000	4
NEST:186	CDKN1A	-0.1645	0.0000	5
NEST:186	MDM2	-0.1617	0.0000	6
NEST:186	MDM4	-0.1541	0.0000	7
NEST:186	TP53BP1	0.0769	0.0000	8
NEST:186	CHEK2	-0.0368	0.0239	9
NEST:19	GATA3	-0.7136	0.0000	1
NEST:19	BRD4	0.1879	0.0000	2
NEST:19	PPP4R2	0.0655	0.0001	3
NEST:19	FUBP1	-0.0484	0.0029	4
NEST:193	TP53	-0.8732	0.0000	1
NEST:193	BRCA1	0.2802	0.0000	2
NEST:193	BLM	-0.2171	0.0000	3
NEST:193	BARD1	-0.1889	0.0000	4
NEST:193	BRCA2	0.1729	0.0000	5
NEST:193	RAD51C	0.1460	0.0000	6
NEST:193	RAD51	-0.0739	0.0000	7
NEST:195	ERBB2	-0.6757	0.0000	1
NEST:195	FGFR1	0.5819	0.0000	2
NEST:195	STAT3	-0.2582	0.0000	3
NEST:195	EGFR	0.1833	0.0000	4
NEST:195	KRAS	-0.1597	0.0000	5
NEST:2	CCND1	-0.4217	0.0000	1
NEST:2	ERBB2	0.3006	0.0000	2
NEST:2	PIK3R2	0.0829	0.0000	3
NEST:2	SRC	-0.0659	0.0001	4
NEST:2	MAP2K1	-0.0595	0.0003	5
NEST:2	AKT1	0.0496	0.0023	6
NEST:2	IFNGR1	0.0480	0.0032	7
NEST:2	ERBB4	-0.0447	0.0060	8
NEST:2	CRKL	-0.0367	0.0241	9
NEST:2	SMAD3	0.0304	0.0617	10
NEST:2	MPL	0.0279	0.0869	11
NEST:2	FGFR3	-0.0200	0.2197	12
NEST:2	PIK3R3	0.0178	0.2738	13
NEST:2	MYOD1	-0.0089	0.5843	14
NEST:2	GRIN2A	-0.0077	0.6345	15
NEST:2	HRAS	0.0044	0.7851	16
NEST:2	RASA1	0.0032	0.8433	17
NEST:20	FOXA1	0.8617	0.0000	1
NEST:20	PDGFRB	-0.2847	0.0000	2
NEST:20	INHBA	-0.2421	0.0000	3
NEST:20	FANCC	-0.2363	0.0000	4
NEST:20	CD276	0.2097	0.0000	5
NEST:212	KRAS	0.4443	0.0000	1
NEST:212	BRAF	-0.3976	0.0000	2
NEST:212	ARAF	-0.3936	0.0000	3
NEST:212	MAPK3	-0.3254	0.0000	4
NEST:212	MAPK1	0.3249	0.0000	5
NEST:212	MAP2K1	-0.3026	0.0000	6
NEST:212	RAF1	0.2446	0.0000	7
NEST:212	HRAS	0.2089	0.0000	8
NEST:221	MYC	0.8735	0.0000	1
NEST:221	AMER1	-0.2575	0.0000	2
NEST:221	AXIN1	0.2343	0.0000	3
NEST:221	CTNNB1	0.2308	0.0000	4
NEST:221	DAXX	-0.2110	0.0000	5
NEST:231	MLH1	0.4789	0.0000	1
NEST:231	MSH6	0.4760	0.0000	2
